@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
0.68,0.82,0.48,0.5,0.38,0.65,0.56,3
0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
0.35,0.34,0.48,0.5,0.46,0.3,0.27,1
0.64,0.72,0.48,0.5,0.49,0.42,0.19,3
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
0.72,0.86,0.48,0.5,0.17,0.55,0.21,3
0.74,0.44,0.48,0.5,0.55,0.88,0.89,2
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
0.29,0.28,0.48,0.5,0.5,0.42,0.5,1
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.68,0.67,0.48,0.5,0.49,0.4,0.34,3
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.33,0.37,0.48,0.5,0.46,0.65,0.69,2
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1
0.63,0.57,0.48,0.5,0.49,0.7,0.2,3
