@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
0.66,0.74,0.48,0.5,0.31,0.38,0.43,3
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.61,0.47,0.48,0.5,0,0.8,0.32,2
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.49,0.61,1,0.5,0.56,0.71,0.74,4
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1
