@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0,0.51,0.48,0.5,0.35,0.67,0.44,2
0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1
0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
0.74,0.74,0.48,0.5,0.31,0.53,0.52,3
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
0.66,0.86,0.48,0.5,0.34,0.41,0.36,3
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.57,0.59,0.48,0.5,0.39,0.47,0.33,3
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.51,0.54,0.48,0.5,0.41,0.34,0.43,1
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.41,0.51,0.48,0.5,0.53,0.75,0.78,2
0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1
0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
0.71,0.4,0.48,0.5,0.71,0.7,0.74,2
0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
0.74,0.56,0.48,0.5,0.47,0.68,0.3,3
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
