@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
0.71,0.57,0.48,0.5,0.48,0.35,0.32,3
0.63,0.83,0.48,0.5,0.4,0.39,0.19,3
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
0.7,0.71,0.48,0.5,0.42,0.84,0.85,3
0.06,0.61,0.48,0.5,0.49,0.92,0.37,2
0.23,0.48,0.48,0.5,0.59,0.88,0.89,2
0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.68,0.78,0.48,0.5,0.43,0.44,0.42,3
0.63,0.8,0.48,0.5,0.46,0.31,0.29,3
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
0.63,0.86,0.48,0.5,0.39,0.47,0.34,3
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1
0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
0.63,0.47,0.48,0.5,0.51,0.82,0.84,2
0.77,0.57,1,0.5,0.37,0.54,0.01,6
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
