@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.67,0.55,1,0.5,0.66,0.58,0.16,6
0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
0.65,0.55,0.48,0.5,0.34,0.37,0.28,1
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
0.71,0.71,0.48,0.5,0.4,0.54,0.39,3
0.6,0.76,1,0.5,0.77,0.59,0.52,5
0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
0.85,0.53,0.48,0.5,0.53,0.52,0.35,8
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,3
0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
0.64,0.66,0.48,0.5,0.41,0.39,0.2,3
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.69,0.8,0.48,0.5,0.46,0.57,0.26,3
0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,1
0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
0.61,0.6,0.48,0.5,0.44,0.39,0.38,3
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
0,0.38,0.48,0.5,0.42,0.48,0.55,1
0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
