@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.71,0.46,1,0.5,0.52,0.59,0.3,6
0.69,0.65,0.48,0.5,0.63,0.48,0.41,3
0.67,0.81,0.48,0.5,0.54,0.49,0.23,3
0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.63,0.65,0.48,0.5,0.39,0.44,0.35,3
0.26,0.5,0.48,0.5,0.44,0.32,0.41,1
0.21,0.51,0.48,0.5,0.5,0.32,0.41,1
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1
0.66,0.71,0.48,0.5,0.41,0.5,0.35,3
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
0.31,0.36,0.48,0.5,0.58,0.94,0.94,2
0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
0.32,0.39,0.48,0.5,0.53,0.28,0.38,3
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
0.52,0.36,0.48,0.5,0.41,0.28,0.38,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
0.29,0.39,0.48,0.5,0.52,0.4,0.48,3
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1
0.41,0.48,0.48,0.5,0.51,0.44,0.51,1
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
0.34,0.46,0.48,0.5,0.52,0.35,0.44,1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
0.24,0.41,0.48,0.5,0.49,0.23,0.34,1
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1
0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
0.6,0.46,0.48,0.5,0.45,0.81,0.83,2
0.24,0.43,0.48,0.5,0.37,0.28,0.38,1
0.29,0.52,0.48,0.5,0.42,0.29,0.39,1
0.23,0.32,0.48,0.5,0.55,0.25,0.35,1
0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
0.39,0.41,0.48,0.5,0.52,0.72,0.75,2
