@relation ecoli-weka.filters.unsupervised.attribute.Remove-R1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {1,2,3,4,5,6,7,8}

@data
0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1
0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
0.44,0.51,0.48,0.5,0.47,0.26,0.36,1
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
0.74,0.49,0.48,0.5,0.42,0.54,0.36,3
0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
0.64,0.58,0.48,0.5,0.48,0.78,0.73,2
0.71,0.52,0.48,0.5,0.64,1,0.99,2
0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1
0.36,0.56,0.48,0.5,0.43,0.45,0.53,1
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1
0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,3
0.64,0.81,0.48,0.5,0.37,0.39,0.44,3
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
0.37,0.47,0.48,0.5,0.39,0.76,0.79,2
0.25,0.4,0.48,0.5,0.47,0.33,0.42,1
0.74,0.82,0.48,0.5,0.49,0.49,0.41,3
0.25,0.4,0.48,0.5,0.46,0.44,0.52,1
0.65,0.57,0.48,0.5,0.47,0.47,0.51,3
0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
